location,age_group,year,week,date,value_0w,value_1w,value_2w,value_3w,value_4w,value_5w,value_6w,value_7w,value_8w,value_9w,value_10w,value_>10w
DE,00+,2023,36,2023-09-10,920,0,0,0,0,0,0,2,0,0,0,0
DE,00+,2023,37,2023-09-17,1020,31,0,0,0,0,1,2,0,0,0,1
DE,00+,2023,38,2023-09-24,1126,0,0,0,0,0,3,0,0,0,0,0
DE,00+,2023,39,2023-10-01,1276,34,21,13,0,0,0,0,0,0,0,0
DE,00+,2023,40,2023-10-08,1096,0,0,0,0,0,0,0,0,0,0,0
DE,00+,2023,41,2023-10-15,1529,0,0,0,0,0,0,0,0,0,0,1
DE,00+,2023,42,2023-10-22,1559,0,0,0,0,0,0,0,0,0,0,3
DE,00+,2023,43,2023-10-29,1640,0,2,0,0,0,0,2,0,0,0,0
DE,00+,2023,44,2023-11-05,1478,0,0,0,0,0,0,0,0,0,0,0
DE,00+,2023,45,2023-11-12,1755,52,0,0,0,0,0,0,0,0,0,1
DE,00+,2023,46,2023-11-19,1897,27,0,0,0,0,0,0,0,0,0,0
DE,00+,2023,47,2023-11-26,2035,42,0,0,0,0,0,0,0,0,0,0
DE,00+,2023,48,2023-12-03,2030,25,27,0,0,0,0,0,0,0,,
DE,00+,2023,49,2023-12-10,2260,67,0,0,0,0,0,0,0,,,
DE,00+,2023,50,2023-12-17,2537,0,2,0,0,0,0,0,,,,
DE,00+,2023,51,2023-12-24,0,2233,0,0,0,0,4,,,,,
DE,00+,2023,52,2023-12-31,963,0,0,0,0,0,,,,,,
DE,00+,2024,1,2024-01-07,1658,0,0,0,0,,,,,,,
DE,00+,2024,2,2024-01-14,1647,0,14,4,,,,,,,,
DE,00+,2024,3,2024-01-21,1707,56,0,,,,,,,,,
DE,00+,2024,4,2024-01-28,1992,34,,,,,,,,,,
DE,00+,2024,5,2024-02-04,2095,,,,,,,,,,,
DE,00-04,2023,36,2023-09-10,2873,5,0,0,0,9,2,25,0,0,0,0
DE,00-04,2023,37,2023-09-17,3222,51,0,5,0,0,45,0,0,0,0,2
DE,00-04,2023,38,2023-09-24,3488,0,49,19,0,24,5,0,0,2,0,0
DE,00-04,2023,39,2023-10-01,3791,81,205,44,12,0,0,0,8,0,0,0
DE,00-04,2023,40,2023-10-08,3266,51,1,0,0,0,0,0,0,0,0,2
DE,00-04,2023,41,2023-10-15,3939,135,0,0,0,0,0,0,0,0,0,2
DE,00-04,2023,42,2023-10-22,4301,0,0,0,0,0,0,0,5,0,0,2
DE,00-04,2023,43,2023-10-29,4480,0,79,0,0,0,0,71,0,0,0,0
DE,00-04,2023,44,2023-11-05,3691,0,0,0,0,0,0,0,0,0,0,0
DE,00-04,2023,45,2023-11-12,4107,262,142,26,44,3,0,0,0,0,0,0
DE,00-04,2023,46,2023-11-19,4415,311,41,71,4,0,0,0,0,0,0,1
DE,00-04,2023,47,2023-11-26,5156,246,107,0,0,0,0,0,0,0,0,0
DE,00-04,2023,48,2023-12-03,5221,379,82,0,4,0,0,0,0,0,,
DE,00-04,2023,49,2023-12-10,5796,139,0,9,0,0,0,0,0,,,
DE,00-04,2023,50,2023-12-17,6235,0,0,0,0,0,0,0,,,,
DE,00-04,2023,51,2023-12-24,0,6734,78,0,0,0,0,,,,,
DE,00-04,2023,52,2023-12-31,3832,0,0,0,26,0,,,,,,
DE,00-04,2024,1,2024-01-07,3755,0,0,40,0,,,,,,,
