location,age_group,year,week,date,value_-1w,value_0w,value_1w,value_2w,value_3w,value_4w
DE,00+,2024,41,2024-10-13,8709,7591,63,26,11,32
DE,00+,2024,42,2024-10-20,8955,7374,93,37,16,7
DE,00+,2024,43,2024-10-27,9600,6758,108,28,5,20
DE,00+,2024,44,2024-11-03,8016,3803,96,4,14,
DE,00+,2024,45,2024-11-10,7040,4697,42,19,,
DE,00+,2024,46,2024-11-17,5982,4725,80,,,
DE,00+,2024,47,2024-11-24,6105,4739,,,,
DE,00+,2024,48,2024-12-01,4198,,,,,
DE,00-04,2024,41,2024-10-13,236,202,2,1,2,0
DE,00-04,2024,42,2024-10-20,236,243,2,0,0,0
DE,00-04,2024,43,2024-10-27,317,214,1,0,0,0
DE,00-04,2024,44,2024-11-03,249,127,3,0,1,
DE,00-04,2024,45,2024-11-10,253,172,0,0,,
DE,00-04,2024,46,2024-11-17,216,184,2,,,
DE,00-04,2024,47,2024-11-24,203,193,,,,
DE,00-04,2024,48,2024-12-01,168,,,,,
DE,05-14,2024,41,2024-10-13,93,83,0,0,0,0
DE,05-14,2024,42,2024-10-20,80,98,0,1,0,0
DE,05-14,2024,43,2024-10-27,135,104,0,0,0,0
DE,05-14,2024,44,2024-11-03,138,67,2,1,0,
DE,05-14,2024,45,2024-11-10,131,141,1,1,,
DE,05-14,2024,46,2024-11-17,145,170,2,,,
DE,05-14,2024,47,2024-11-24,127,157,,,,
DE,05-14,2024,48,2024-12-01,73,,,,,
DE,15-34,2024,41,2024-10-13,781,713,7,1,2,1
DE,15-34,2024,42,2024-10-20,829,682,14,1,3,0
DE,15-34,2024,43,2024-10-27,773,597,5,4,2,3
DE,15-34,2024,44,2024-11-03,640,303,3,0,4,
DE,15-34,2024,45,2024-11-10,592,477,1,4,,
DE,15-34,2024,46,2024-11-17,573,473,11,,,
DE,15-34,2024,47,2024-11-24,549,446,,,,
DE,15-34,2024,48,2024-12-01,326,,,,,
DE,35-59,2024,41,2024-10-13,1769,1666,17,5,0,2
DE,35-59,2024,42,2024-10-20,1827,1523,28,9,3,4
DE,35-59,2024,43,2024-10-27,1940,1373,15,10,0,9
DE,35-59,2024,44,2024-11-03,1582,757,15,3,5,
DE,35-59,2024,45,2024-11-10,1454,1075,11,9,,
DE,35-59,2024,46,2024-11-17,1235,1026,22,,,
DE,35-59,2024,47,2024-11-24,1283,1070,,,,
DE,35-59,2024,48,2024-12-01,844,,,,,
DE,60-79,2024,41,2024-10-13,2620,2284,22,10,5,6
DE,60-79,2024,42,2024-10-20,2792,2297,15,7,5,0
DE,60-79,2024,43,2024-10-27,3045,2061,46,5,1,5
DE,60-79,2024,44,2024-11-03,2532,1208,26,0,1,
DE,60-79,2024,45,2024-11-10,2208,1365,12,4,,
DE,60-79,2024,46,2024-11-17,1872,1405,19,,,
DE,60-79,2024,47,2024-11-24,1893,1439,,,,
DE,60-79,2024,48,2024-12-01,1306,,,,,
DE,80+,2024,41,2024-10-13,3210,2643,15,7,4,23
DE,80+,2024,42,2024-10-20,3191,2531,34,19,5,3
DE,80+,2024,43,2024-10-27,3390,2409,40,7,4,4
DE,80+,2024,44,2024-11-03,2875,1341,46,1,3,
DE,80+,2024,45,2024-11-10,2402,1466,18,1,,
DE,80+,2024,46,2024-11-17,1941,1467,24,,,
DE,80+,2024,47,2024-11-24,2050,1434,,,,
DE,80+,2024,48,2024-12-01,1481,,,,,
DE-BB-BE,00+,2024,41,2024-10-13,613,481,2,1,0,0
DE-BB-BE,00+,2024,42,2024-10-20,773,567,3,1,0,0
DE-BB-BE,00+,2024,43,2024-10-27,843,660,11,0,1,0
DE-BB-BE,00+,2024,44,2024-11-03,777,343,2,0,0,
DE-BB-BE,00+,2024,45,2024-11-10,736,477,4,0,,
