date,location,age_group,value
2009-01-19,DE,00+,1
2011-06-01,DE,00+,1
2018-01-21,DE,00+,1
2018-05-25,DE,00+,2
2018-05-28,DE,00+,4
2018-05-31,DE,00+,3
2018-06-01,DE,00+,3
2018-06-05,DE,00+,6
2018-06-06,DE,00+,4
2018-06-07,DE,00+,7
2018-06-08,DE,00+,4
2018-06-11,DE,00+,5
2018-06-12,DE,00+,4
2018-06-13,DE,00+,5
2018-06-14,DE,00+,4
2018-06-15,DE,00+,3
2018-06-19,DE,00+,8
2018-06-20,DE,00+,2
2018-06-21,DE,00+,3
2018-06-22,DE,00+,6
2018-06-25,DE,00+,6
2018-06-26,DE,00+,2
2018-06-27,DE,00+,1
2018-06-28,DE,00+,1
2018-06-29,DE,00+,2
2018-07-02,DE,00+,5
2018-07-03,DE,00+,3
2018-07-04,DE,00+,2
2018-07-05,DE,00+,2
2018-07-06,DE,00+,4
2018-07-09,DE,00+,3
2018-07-10,DE,00+,3
2018-07-12,DE,00+,2
2018-07-13,DE,00+,2
2018-07-16,DE,00+,4
2018-07-17,DE,00+,2
2018-07-18,DE,00+,1
2018-07-20,DE,00+,2
2018-07-23,DE,00+,2
2018-07-24,DE,00+,2
2018-07-25,DE,00+,3
2018-07-26,DE,00+,2
2018-07-30,DE,00+,1
2018-07-31,DE,00+,1
2018-08-01,DE,00+,3
2018-08-02,DE,00+,3
2018-08-03,DE,00+,3
2018-08-06,DE,00+,2
2018-08-07,DE,00+,4
2018-08-09,DE,00+,2
2018-08-10,DE,00+,2
2018-08-13,DE,00+,1
2018-08-15,DE,00+,2
2018-08-16,DE,00+,5
2018-08-17,DE,00+,1
2018-08-20,DE,00+,4
2018-08-24,DE,00+,6
2018-08-27,DE,00+,1
2018-08-28,DE,00+,5
2018-08-29,DE,00+,6
2018-08-31,DE,00+,1
2018-09-03,DE,00+,6
2018-09-04,DE,00+,2
2018-09-05,DE,00+,4
2018-09-06,DE,00+,4
2018-09-07,DE,00+,4
2018-09-10,DE,00+,8
2018-09-11,DE,00+,5
2018-09-12,DE,00+,5
2018-09-13,DE,00+,3
2018-09-17,DE,00+,4
2018-09-18,DE,00+,6
2018-09-19,DE,00+,3
2018-09-20,DE,00+,5
2018-09-21,DE,00+,7
2018-09-22,DE,00+,3
2018-09-23,DE,00+,2
2018-09-24,DE,00+,6
2018-09-25,DE,00+,10
2018-09-26,DE,00+,4
2018-09-27,DE,00+,2
2018-09-28,DE,00+,5
2018-10-01,DE,00+,4
2018-10-02,DE,00+,9
2018-10-03,DE,00+,1
2018-10-04,DE,00+,3
2018-10-05,DE,00+,4
2018-10-08,DE,00+,13
2018-10-09,DE,00+,5
2018-10-10,DE,00+,8
2018-10-11,DE,00+,5
2018-10-12,DE,00+,9
2018-10-15,DE,00+,7
2018-10-16,DE,00+,8
2018-10-31,DE,00+,1
2018-11-01,DE,00+,1
2018-11-02,DE,00+,5
2018-11-05,DE,00+,3
2018-11-06,DE,00+,12
2018-11-07,DE,00+,9
2018-11-08,DE,00+,7
2018-11-09,DE,00+,6
2018-11-12,DE,00+,8
2018-11-13,DE,00+,7
2018-11-14,DE,00+,10
2018-11-15,DE,00+,4
2018-11-16,DE,00+,6
2018-11-19,DE,00+,8
2018-11-20,DE,00+,10
2018-11-21,DE,00+,5
2018-11-22,DE,00+,17
