date,year,week,location,age_group,value
2018-01-21,2018,3,DE,00+,1
2018-05-27,2018,21,DE,00+,2
2018-06-03,2018,22,DE,00+,10
2018-06-10,2018,23,DE,00+,21
2018-06-17,2018,24,DE,00+,21
2018-06-24,2018,25,DE,00+,19
2018-07-01,2018,26,DE,00+,12
2018-07-08,2018,27,DE,00+,16
2018-07-15,2018,28,DE,00+,10
2018-07-22,2018,29,DE,00+,9
2018-07-29,2018,30,DE,00+,9
2018-08-05,2018,31,DE,00+,11
2018-08-12,2018,32,DE,00+,10
2018-08-19,2018,33,DE,00+,9
2018-08-26,2018,34,DE,00+,10
2018-09-02,2018,35,DE,00+,13
2018-09-09,2018,36,DE,00+,20
2018-09-16,2018,37,DE,00+,21
2018-09-23,2018,38,DE,00+,30
2018-09-30,2018,39,DE,00+,27
2018-10-07,2018,40,DE,00+,21
2018-10-14,2018,41,DE,00+,40
2018-10-21,2018,42,DE,00+,15
2018-11-04,2018,44,DE,00+,7
2018-11-11,2018,45,DE,00+,37
2018-11-18,2018,46,DE,00+,35
2018-11-25,2018,47,DE,00+,52
2018-12-02,2018,48,DE,00+,31
2018-12-09,2018,49,DE,00+,37
2018-12-16,2018,50,DE,00+,22
2018-12-23,2018,51,DE,00+,14
2018-12-30,2018,52,DE,00+,2
2019-01-06,2019,1,DE,00+,12
2019-01-13,2019,2,DE,00+,11
2019-01-27,2019,4,DE,00+,3
2019-02-24,2019,8,DE,00+,12
2020-01-05,2020,1,DE,00+,1
2020-01-12,2020,2,DE,00+,6
2020-01-19,2020,3,DE,00+,6
2020-01-26,2020,4,DE,00+,4
2020-02-02,2020,5,DE,00+,10
2020-02-09,2020,6,DE,00+,4
2020-02-16,2020,7,DE,00+,6
2020-02-23,2020,8,DE,00+,5
2020-03-01,2020,9,DE,00+,8
2020-03-08,2020,10,DE,00+,3
2020-03-15,2020,11,DE,00+,4
2020-03-22,2020,12,DE,00+,2
2020-03-29,2020,13,DE,00+,1
2020-04-05,2020,14,DE,00+,2
2020-04-12,2020,15,DE,00+,1
2020-05-03,2020,18,DE,00+,2
2020-05-31,2020,22,DE,00+,1
2020-06-07,2020,23,DE,00+,1
2021-09-26,2021,38,DE,00+,2
2021-10-03,2021,39,DE,00+,9
2021-10-10,2021,40,DE,00+,2
2021-10-17,2021,41,DE,00+,2
2021-10-24,2021,42,DE,00+,2
2021-10-31,2021,43,DE,00+,2
2021-11-07,2021,44,DE,00+,1
2021-11-14,2021,45,DE,00+,3
2021-11-21,2021,46,DE,00+,2
2021-11-28,2021,47,DE,00+,2
2021-12-05,2021,48,DE,00+,3
2021-12-12,2021,49,DE,00+,5
2021-12-19,2021,50,DE,00+,3
2021-12-26,2021,51,DE,00+,3
2022-01-02,2021,52,DE,00+,1
2022-01-09,2022,1,DE,00+,1
2022-02-06,2022,5,DE,00+,1
2022-02-13,2022,6,DE,00+,2
2022-02-20,2022,7,DE,00+,3
2022-02-27,2022,8,DE,00+,1
2022-03-06,2022,9,DE,00+,3
2022-03-20,2022,11,DE,00+,1
2022-03-27,2022,12,DE,00+,2
2022-04-03,2022,13,DE,00+,3
2022-04-10,2022,14,DE,00+,3
2022-04-24,2022,16,DE,00+,2
2022-05-01,2022,17,DE,00+,2
2022-05-08,2022,18,DE,00+,2
2022-05-15,2022,19,DE,00+,2
2022-05-29,2022,21,DE,00+,1
2022-06-05,2022,22,DE,00+,2
2022-06-19,2022,24,DE,00+,3
2022-07-03,2022,26,DE,00+,2
2022-07-17,2022,28,DE,00+,1
2022-07-24,2022,29,DE,00+,2
2022-08-07,2022,31,DE,00+,1
2022-08-21,2022,33,DE,00+,2
2022-08-28,2022,34,DE,00+,4
2023-08-27,2023,34,DE,00+,14
2023-09-03,2023,35,DE,00+,14
2023-09-10,2023,36,DE,00+,51
